Entry	Gene
I3L2Y5	ACSM2A
I3L339	ACSM2A
I3L438	ACSM2A
Q08AH3	ACSM2A
Q562L2	ACT
Q562L3	ACT
Q562L5	ACT
Q562L6	ACT
Q562L9	ACT
Q562M3	ACT
Q562M5	ACT
Q562N0	ACT
Q562N1	ACT
Q562N2	ACT
Q562N3	ACT
Q562N4	ACT
Q562N6	ACT
Q562N8	ACT
Q562P0	ACT
Q562P8	ACT
Q562P9	ACT
Q562Q0	ACT
Q562Q1	ACT
Q562Q2	ACT
Q562Q3	ACT
Q562Q4	ACT
Q562Q5	ACT
Q562Q6	ACT
Q562Q8	ACT
Q562Q9	ACT
Q562R0	ACT
Q562R3	ACT
Q562R4	ACT
Q562R5	ACT
Q562R6	ACT
Q562R7	ACT
Q562R8	ACT
Q562S0	ACT
Q562S2	ACT
Q562S4	ACT
Q562S5	ACT
Q562S6	ACT
Q562S7	ACT
Q562S8	ACT
Q562T0	ACT
Q562T3	ACT
Q562T4	ACT
Q562T5	ACT
Q562T6	ACT
Q562T7	ACT
Q562T8	ACT
Q562T9	ACT
Q562U0	ACT
Q562U1	ACT
Q562U2	ACT
Q562V5	ACT
Q562W2	ACT
Q562W3	ACT
Q562W4	ACT
Q562W5	ACT
Q562W6	ACT
Q562W7	ACT
Q562W8	ACT
Q562W9	ACT
Q562X0	ACT
Q562X1	ACT
Q562X2	ACT
Q562X4	ACT
Q562X6	ACT
Q562X7	ACT
Q562X9	ACT
Q562Y3	ACT
Q562Y4	ACT
Q562Y6	ACT
Q562Y8	ACT
Q562Z4	ACT
Q562Z6	ACT
Q562Z7	ACT
Q562R1	ACTBL2
C9JQT2	ACTL6A
D3DNS0	ACTL6A
H7C5S0	ACTL6A
O96019	ACTL6A
C9JQT4	ACTL6B
O94805	ACTL6B
A0A024R694	ACTN1
A1L0V1	ACTN1
G3V2E8	ACTN1
G3V2N5	ACTN1
G3V2W4	ACTN1
G3V2X9	ACTN1
G3V380	ACTN1
G3V5M4	ACTN1
H0YJ11	ACTN1
H0YJW3	ACTN1
H7C5W8	ACTN1
H9KV75	ACTN1
P12814	ACTN1
Q5ZEZ4	ACTN1
A0A0S2Z3C0	ACTN4
A0A0S2Z3G1	ACTN4
A0A0S2Z3G9	ACTN4
A0A0S2Z3X3	ACTN4
F5GXS2	ACTN4
H7C144	ACTN4
K7EJH8	ACTN4
K7EP19	ACTN4
O43707	ACTN4
Q96BG6	ACTN4
F6S9Y6	ACTR10
G3V2Q5	ACTR10
G3V4K6	ACTR10
G3V524	ACTR10
G3V5Y4	ACTR10
H0YJD9	ACTR10
H0YJE8	ACTR10
Q05DQ7	ACTR10
Q9NZ32	ACTR10
V9GYX7	ACTR10
A0A1B0GVS3	ACTR1A
P61163	ACTR1A
R4GMT0	ACTR1A
A0A024RAI1	ACTR3
B4DXW1	ACTR3
F8WDR7	ACTR3
F8WE84	ACTR3
F8WEW2	ACTR3
P61158	ACTR3
Q9H9F9	ACTR5
C9J7L6	ACTR8
H0Y849	ACTR8
Q9H981	ACTR8
A0A0S2Z2Y3	ACVR1
A0A0S2Z345	ACVR1
A0A1B0GXA9	ACVR1
C9J1R3	ACVR1
C9JHJ7	ACVR1
C9JW28	ACVR1
D3DPA4	ACVR1
F5GY91	ACVR1
L8E7H6	ACVR1
Q04771	ACVR1
Q53SF4	ACVR1
Q53SV1	ACVR1
Q53SF5	ACVR1C
Q8NER5	ACVR1C
P27037	ACVR2A
Q13705	ACVR2B
Q4VAU9	ACVR2B
A0A0S2Z2Y4	ACVRL1
A0A0S2Z310	ACVRL1
D9IPD9	ACVRL1
E7EN07	ACVRL1
F8W0N2	ACVRL1
G3V1W8	ACVRL1
H3BTZ2	ACVRL1
P37023	ACVRL1
G3V2U7	ACYP1
G3V3F8	ACYP1
G3V597	ACYP1
P07311	ACYP1
A0A0S2Z381	ADA
A0A0S2Z3B9	ADA
A0A0S2Z3T6	ADA
F5GWI4	ADA
F5GXW0	ADA
F5GYD4	ADA
P00813	ADA
Q16073	ADA
X5D767	ADA
A0A024R5U5	ADAM10
A0A087WYG1	ADAM10
A0AV88	ADAM10
B5MC71	ADAM10
C9J9B4	ADAM10
H0YK32	ADAM10
H0YK87	ADAM10
H0YNC5	ADAM10
H3BS53	ADAM10
L8E9R5	ADAM10
O14672	ADAM10
A0A3B3ISQ1	ADAM17
A0A3B3IST4	ADAM17
A0A3B3ITB5	ADAM17
A0A3B3ITW9	ADAM17
A6H8L4	ADAM17
B2RNB2	ADAM17
P78536	ADAM17
Q53RF5	ADAM17
Q53RS1	ADAM17
Q53S40	ADAM17
Q6P5T8	ADAM17
D6W5P7	ADAM22
E7EPF1	ADAM22
E9PF78	ADAM22
F8WAD8	ADAM22
H7C0Q9	ADAM22
H7C3I4	ADAM22
Q08AL8	ADAM22
Q6P667	ADAM22
Q75MS7	ADAM22
Q86UM2	ADAM22
Q8IYE7	ADAM22
Q9P0K1	ADAM22
Q9UKK0	ADAM22
E5RI60	ADAMTS1
E5RJR7	ADAMTS1
H7C206	ADAMTS1
Q8NE26	ADAMTS1
Q9UHI8	ADAMTS1
A0A0A0MQW6	ADAMTS10
L0R574	ADAMTS10
M0QY12	ADAMTS10
M0QY36	ADAMTS10
Q9H324	ADAMTS10
A0A024R8G4	ADAMTS13
A0A0B4J229	ADAMTS13
A0A0C4DFV8	ADAMTS13
A0A2D0ZBS7	ADAMTS13
D5KRM8	ADAMTS13
E7EV88	ADAMTS13
F6V803	ADAMTS13
Q6QNA4	ADAMTS13
Q6QNA5	ADAMTS13
Q6QNA6	ADAMTS13
Q6QNA7	ADAMTS13
Q76LX8	ADAMTS13
Q96P40	ADAMTS13
Q8WXS8	ADAMTS14
Q8TE58	ADAMTS15
B2G3Q1	ADAMTS16
L8E9K8	ADAMTS16
Q2XQZ0	ADAMTS16
Q8TE57	ADAMTS16
H0YMH1	ADAMTS17
H3BRA9	ADAMTS17
H3BV94	ADAMTS17
Q8TE56	ADAMTS17
B4DEX3	ADAMTS18
H3BMG1	ADAMTS18
H3BTZ3	ADAMTS18
L8ECP9	ADAMTS18
Q8TE60	ADAMTS18
A0A1X7SBR9	ADAMTS19
D6R9M2	ADAMTS19
H0Y8Y0	ADAMTS19
Q8TE59	ADAMTS19
A0A1B0GTY3	ADAMTS2
O95450	ADAMTS2
E9PBD5	ADAMTS20
G3V1X8	ADAMTS20
H0YHN3	ADAMTS20
L0R6C0	ADAMTS20
P59510	ADAMTS20
O15072	ADAMTS3
Q96AY5	ADAMTS3
O75173	ADAMTS4
Q5VTW1	ADAMTS4
A0A494C1E4	ADAMTS5
Q9UNA0	ADAMTS5
Q5IR90	ADAMTS6
Q9UKP5	ADAMTS6
Q9UKP4	ADAMTS7
Q29RW5	ADAMTS8
Q5FWF1	ADAMTS8
Q9UP79	ADAMTS8
A0A087WTS1	ADAMTS9
C9JWI2	ADAMTS9
H0Y859	ADAMTS9
Q9P2N4	ADAMTS9
A0A1B0GUM2	ADAMTSL1
A2A343	ADAMTSL1
A6NIB9	ADAMTSL1
F8WEP3	ADAMTSL1
H7BYE3	ADAMTSL1
Q8N6G6	ADAMTSL1
A0A024R8C9	ADAMTSL2
B1B0D4	ADAMTSL2
Q86TH1	ADAMTSL2
P82987	ADAMTSL3
B7ZMJ3	ADAMTSL4
Q6UY14	ADAMTSL4
A0A087WTN6	ADAP1
A0A3B3ISA7	ADAP1
C9JN36	ADAP1
H0Y7Q1	ADAP1
H7BZT6	ADAP1
H7C264	ADAP1
H7C324	ADAP1
H7C4B3	ADAP1
O75689	ADAP1
A0A3B3IRQ9	ADAR
A0A3B3ISU1	ADAR
A0A3B3ISX1	ADAR
A0A3B3ITG9	ADAR
A2IBT1	ADAR
A2IBT2	ADAR
D3DV75	ADAR
P55265	ADAR
A4VCH5	ADARB2
Q5VW43	ADARB2
Q86X17	ADARB2
Q9NS39	ADARB2
A0A0G2JLA8	ADAT1
H3BNT8	ADAT1
H3BP18	ADAT1
H3BP27	ADAT1
H3BSM1	ADAT1
